date,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,ticker
2011-04-30,2726.54100,343.20200,380.96400,36.60000,,3496.76300,553.36600,,648.60500,38.01000,1239.98100,4736.74400,981.16600,22.95700,284.81300,307.77000,1288.93600,0.68800,2284.54700,11.12100,,3447.80800,4736.74400,NVDA
2011-01-31,2490.56300,348.77000,345.52500,32.63600,,3226.95000,568.85700,,658.58900,40.85000,1268.29600,4495.24600,942.68200,23.38900,347.71300,371.10200,1313.78400,0.67700,2149.32800,10.27200,,3181.46200,4495.24600,NVDA
2010-10-31,1987.22000,399.50200,377.81200,34.41600,,2807.70200,585.67200,,482.48600,39.71900,1107.87700,3915.57900,816.48900,23.35900,177.85100,201.21000,1017.69900,0.67100,1977.67700,12.66700,,2897.88000,3915.57900,NVDA
2010-07-31,1772.50000,395.93400,434.22700,44.54900,,2655.96200,542.21600,,488.72300,44.36700,1075.30600,3731.26800,819.13900,23.73400,127.88100,151.61500,970.75400,0.66500,1892.81500,11.23400,,2760.51400,3731.26800,NVDA
2010-04-30,1764.89600,529.66300,388.13900,35.53000,,2726.98000,548.91600,,485.26700,41.86700,1076.05000,3803.03000,765.29300,24.09800,152.99400,177.09200,942.38500,0.66300,2033.77600,10.87200,,2860.64500,3803.03000,NVDA
2010-01-31,1728.22700,374.96300,330.67400,38.21400,,2480.83000,571.85800,,490.30200,42.92800,1105.08800,3585.91800,784.37800,24.45000,111.95000,136.40000,920.77800,0.65300,1896.18200,12.17200,,2665.14000,3585.91800,NVDA
2009-10-31,1634.07900,397.82000,277.64300,31.66900,,2357.71600,565.29600,,497.66100,42.90100,1105.85800,3463.57400,888.80600,24.76000,126.37300,151.13300,1039.93900,0.64600,1765.10600,9.64500,,2423.63500,3463.57400,NVDA
2009-07-31,1466.10500,351.96000,279.21600,50.54800,,2167.90500,582.91400,,505.52200,42.06800,1130.50400,3298.40900,891.32100,25.06000,134.61900,159.67900,1051.00000,0.63800,1657.52900,8.67000,,2247.40900,3298.40900,NVDA
2009-04-30,1338.14700,304.39300,327.25900,50.88500,,2020.68400,601.05300,,512.29000,44.67700,1158.02000,3178.70400,702.17200,25.35100,132.30500,157.65600,859.82800,0.63600,1762.83100,4.93100,,2318.87600,3178.70400,NVDA
2009-01-31,1255.39000,318.43500,537.83400,39.79400,,2167.95800,625.79800,,516.94500,40.02600,1182.76900,3350.72700,778.59100,25.63400,151.85000,177.48400,956.07500,0.62900,1964.16900,3.86500,,2394.65200,3350.72700,NVDA
2008-10-31,1304.88800,607.83400,523.98800,43.38900,,2480.09900,609.67400,,521.93200,37.19300,1168.79900,3648.89800,1004.46500,,157.35800,157.35800,1161.82300,0.62900,2111.83400,-3.97000,,2487.07500,3648.89800,NVDA
2008-07-31,1657.23000,679.41600,432.27900,45.29400,,2814.21900,599.47800,,510.94800,35.40400,1145.83000,3960.04900,1135.01600,,162.11800,162.11800,1297.13400,0.62500,2050.08600,-0.96600,,2662.91500,3960.04900,NVDA
2008-04-30,1621.63900,651.80000,420.12600,55.42800,,2748.99300,522.05600,,496.02000,40.38900,1058.46500,3807.45800,876.55200,,193.72800,193.72800,1070.28000,0.62300,2171.01500,1.54900,,2737.17800,3807.45800,NVDA
2008-01-31,1809.47800,666.49400,358.52100,43.06800,,2888.82900,359.80800,,460.98300,38.05100,858.84200,3747.67100,967.16100,,162.59800,162.59800,1129.75900,0.61900,1994.21000,8.03400,,2617.91200,3747.67100,NVDA
2007-10-31,1852.95300,552.40700,306.14300,44.55100,,2756.05400,322.94600,,371.10700,25.15600,719.20900,3475.26300,856.44200,,,140.89500,997.33700,0.61500,1737.21700,3.35000,,2477.92600,3475.26300,NVDA
2007-07-31,1571.56300,508.43500,276.30500,41.10200,,2397.40500,264.83200,,348.11800,25.91200,638.86190,3036.26700,680.79800,,,95.19100,775.98900,0.40200,1501.55600,1.58600,,2260.27800,3036.26700,NVDA
